# Episodes, Rewards
0.0,-1.2748275862068965
1.0,-1.3206250000000004
2.0,-1.3825000000000003
3.0,-1.2264285714285719
4.0,-1.1109090909090915
5.0,-1.2264285714285716
6.0,-1.1109090909090913
7.0,-0.9309090909090915
8.0,-0.9309090909090915
9.0,-1.155714285714286
10.0,-1.210666666666667
11.0,-1.3206250000000004
12.0,-1.2106666666666672
13.0,-1.2163157894736845
14.0,-1.0183333333333338
15.0,-1.1008333333333338
16.0,-1.0209090909090912
17.0,-1.1847058823529415
18.0,-1.1968750000000004
19.0,-1.0923076923076926
20.0,-1.1684615384615389
21.0,-1.2545000000000002
22.0,-1.283888888888889
23.0,-1.4086666666666672
24.0,-1.2264285714285719
25.0,-1.1968750000000004
26.0,-1.2264285714285719
27.0,-1.2838888888888893
28.0,-1.3011764705882356
29.0,-1.3678571428571433
30.0,-1.2545000000000002
31.0,-1.338888888888889
32.0,-1.2429411764705887
33.0,-1.2264285714285719
34.0,-1.3204545454545455
35.0,-1.3726315789473686
36.0,-1.1854545454545458
37.0,-1.3825000000000003
38.0,-1.2304545454545457
39.0,-1.320526315789474
40.0,-1.2587500000000005
41.0,-1.2971428571428576
42.0,-1.2971428571428572
43.0,-1.2163157894736845
44.0,-1.2587500000000005
45.0,-1.4247368421052635
46.0,-1.3726315789473686
47.0,-1.3341666666666667
48.0,-1.295925925925926
49.0,-1.3921739130434785
50.0,-1.205
51.0,-1.4525000000000001
52.0,-1.3206250000000002
53.0,-1.2264285714285719
54.0,-1.3204545454545455
55.0,-1.2429411764705887
56.0,-1.3341666666666667
57.0,-1.3535000000000001
58.0,-1.3938888888888892
59.0,-1.1350000000000002
60.0,-1.0731250000000006
61.0,-1.0183333333333338
62.0,-1.1684615384615387
63.0,-1.3011764705882356
64.0,-1.3205263157894738
65.0,-1.2890476190476192
66.0,-1.2429411764705887
67.0,-1.2748275862068967
68.0,-1.3388888888888895
69.0,-1.3011764705882356
70.0,-1.3204545454545458
71.0,-1.2684210526315791
72.0,-1.2429411764705884
73.0,-1.210666666666667
74.0,-1.1008333333333338
75.0,-1.1847058823529417
76.0,-1.3341666666666667
77.0,-1.1109090909090915
78.0,-1.3204545454545455
79.0,-1.1968750000000004
80.0,-1.155714285714286
81.0,-1.3654545454545457
82.0,-1.338888888888889
83.0,-1.2890476190476192
84.0,-1.2684210526315791
85.0,-1.1968750000000004
86.0,-1.2684210526315791
87.0,-1.2808000000000002
88.0,-1.2592592592592595
