# Episodes, Rewards, Steps
0.0,-1.04,5.0
1.0,0.6699999999999999,34.0
2.0,-1.07,8.0
3.0,-1.33,34.0
4.0,-1.15,16.0
5.0,-1.18,19.0
6.0,-1.8700000000000006,88.0
7.0,-1.25,26.0
8.0,-1.16,17.0
9.0,-1.1099999999999999,12.0
10.0,-1.4800000000000002,49.0
11.0,-1.06,7.0
12.0,-1.1,11.0
13.0,-1.22,23.0
14.0,-1.37,38.0
15.0,-1.3,31.0
16.0,-1.27,28.0
17.0,-1.17,18.0
18.0,0.69,32.0
19.0,-1.15,16.0
20.0,-1.1099999999999999,12.0
21.0,-1.07,8.0
22.0,-1.1,11.0
23.0,-1.1099999999999999,12.0
24.0,-1.05,6.0
25.0,-1.07,8.0
26.0,-1.2,21.0
27.0,-1.22,23.0
28.0,-1.16,17.0
29.0,0.48999999999999977,52.0
30.0,-1.18,19.0
31.0,-1.1099999999999999,12.0
32.0,-1.05,6.0
33.0,-1.1199999999999999,13.0
34.0,-1.1,11.0
35.0,-1.05,6.0
36.0,-1.17,18.0
37.0,-1.08,9.0
38.0,-1.2,21.0
39.0,-1.27,28.0
40.0,-1.1099999999999999,12.0
41.0,-1.09,10.0
42.0,-1.23,24.0
43.0,-1.09,10.0
44.0,-1.9000000000000006,91.0
45.0,-1.14,15.0
46.0,-1.07,8.0
47.0,0.37999999999999967,63.0
48.0,-1.03,4.0
49.0,-1.14,15.0
50.0,0.73,28.0
51.0,-1.29,30.0
52.0,-1.06,7.0
53.0,-1.15,16.0
54.0,0.5099999999999998,50.0
55.0,-1.0000000000000007,100.0
56.0,-1.14,15.0
57.0,0.5799999999999998,43.0
58.0,-1.04,5.0
59.0,-1.04,5.0
60.0,-1.6700000000000004,68.0
61.0,-1.09,10.0
62.0,0.6599999999999999,35.0
63.0,-1.13,14.0
64.0,-1.19,20.0
65.0,0.5399999999999998,47.0
66.0,-1.17,18.0
67.0,-1.18,19.0
68.0,-1.06,7.0
69.0,-1.09,10.0
70.0,-1.1199999999999999,13.0
71.0,-1.0000000000000007,100.0
72.0,-1.22,23.0
73.0,-1.4000000000000001,41.0
74.0,-1.08,9.0
75.0,-1.4600000000000002,47.0
76.0,-1.1199999999999999,13.0
77.0,-1.22,23.0
78.0,-1.04,5.0
79.0,-1.13,14.0
80.0,-1.31,32.0
81.0,-1.06,7.0
82.0,0.5199999999999998,49.0
83.0,-1.1199999999999999,13.0
84.0,-1.09,10.0
85.0,-1.03,4.0
86.0,-1.1099999999999999,12.0
87.0,0.6499999999999999,36.0
88.0,-1.29,30.0
89.0,-1.15,16.0
90.0,-1.08,9.0
91.0,0.6299999999999999,38.0
92.0,-1.29,30.0
93.0,-1.05,6.0
94.0,-1.6700000000000004,68.0
95.0,-1.29,30.0
96.0,-1.1099999999999999,12.0
97.0,-1.01,2.0
98.0,-1.23,24.0
99.0,-1.4800000000000002,49.0
