# Episodes, Rewards, Steps
0.0,-1.27,28.0
1.0,0.7899999999999999,22.0
2.0,-1.06,7.0
3.0,0.7699999999999999,24.0
4.0,-1.34,35.0
5.0,-1.04,5.0
6.0,0.7899999999999999,22.0
7.0,-1.1199999999999999,13.0
8.0,-1.13,14.0
9.0,-1.15,16.0
10.0,-1.1,11.0
11.0,-1.08,9.0
12.0,-1.5100000000000002,52.0
13.0,0.7899999999999999,22.0
14.0,-1.23,24.0
15.0,0.7599999999999999,25.0
16.0,-1.07,8.0
17.0,0.69,32.0
18.0,-1.07,8.0
19.0,-1.16,17.0
20.0,0.6799999999999999,33.0
21.0,-1.3800000000000001,39.0
22.0,-1.15,16.0
23.0,0.7899999999999999,22.0
24.0,-1.03,4.0
25.0,-1.07,8.0
26.0,-1.17,18.0
27.0,-1.8700000000000006,88.0
28.0,-1.23,24.0
29.0,-1.2,21.0
30.0,-1.19,20.0
31.0,-1.07,8.0
32.0,0.73,28.0
33.0,-1.1099999999999999,12.0
34.0,0.7899999999999999,22.0
35.0,-1.02,3.0
36.0,-1.07,8.0
37.0,-1.17,18.0
38.0,-1.06,7.0
39.0,-1.1,11.0
40.0,0.5999999999999999,41.0
41.0,0.7899999999999999,22.0
42.0,0.7899999999999999,22.0
43.0,-1.17,18.0
44.0,0.7899999999999999,22.0
45.0,-1.06,7.0
46.0,-1.22,23.0
47.0,-1.3900000000000001,40.0
48.0,0.7899999999999999,22.0
49.0,-1.16,17.0
50.0,0.74,27.0
51.0,-1.17,18.0
52.0,-1.1099999999999999,12.0
53.0,-1.27,28.0
54.0,-1.3900000000000001,40.0
55.0,0.7899999999999999,22.0
56.0,-1.1199999999999999,13.0
57.0,0.7799999999999999,23.0
58.0,0.6199999999999999,39.0
59.0,-1.36,37.0
60.0,-1.16,17.0
61.0,0.7699999999999999,24.0
62.0,-1.2,21.0
63.0,0.4999999999999998,51.0
64.0,0.7699999999999999,24.0
65.0,-1.16,17.0
66.0,0.7599999999999999,25.0
67.0,-1.08,9.0
68.0,-1.5000000000000002,51.0
69.0,-1.17,18.0
70.0,-1.35,36.0
71.0,0.7899999999999999,22.0
72.0,-1.4300000000000002,44.0
73.0,-1.05,6.0
74.0,-1.29,30.0
75.0,-1.28,29.0
76.0,0.7899999999999999,22.0
77.0,-1.04,5.0
78.0,-1.21,22.0
79.0,0.6299999999999999,38.0
80.0,-1.1199999999999999,13.0
81.0,-1.14,15.0
82.0,-1.19,20.0
83.0,-1.5700000000000003,58.0
84.0,-1.2,21.0
85.0,-1.18,19.0
86.0,-1.26,27.0
87.0,0.7899999999999999,22.0
88.0,-1.06,7.0
89.0,-1.31,32.0
90.0,-1.2,21.0
91.0,-1.13,14.0
92.0,0.7899999999999999,22.0
93.0,-1.8200000000000005,83.0
94.0,-1.21,22.0
95.0,-1.14,15.0
96.0,-1.7000000000000004,71.0
97.0,-1.1,11.0
98.0,-1.16,17.0
99.0,0.7899999999999999,22.0
