# Episodes, Rewards
0.0,-1.16
1.0,-1.08
2.0,-2.2800000000000002
3.0,-1.44
4.0,-2.6000000000000005
5.0,-4.7600000000000025
6.0,-2.8000000000000007
7.0,-1.3599999999999999
8.0,-1.2
9.0,-1.56
10.0,-1.16
11.0,-1.48
12.0,-1.56
13.0,-3.240000000000001
14.0,-1.9200000000000004
15.0,-4.720000000000002
16.0,-1.4
17.0,-1.08
18.0,-1.32
19.0,-2.6000000000000005
20.0,-1.32
21.0,-1.2
22.0,-1.16
23.0,-1.0
24.0,-1.52
25.0,-2.5200000000000005
26.0,-0.5200000000000007
27.0,-1.44
28.0,-2.5600000000000005
29.0,-1.4
30.0,-3.9600000000000017
31.0,-1.0
32.0,-2.4000000000000004
33.0,-2.4400000000000004
34.0,-2.12
35.0,-1.48
36.0,-1.9600000000000004
37.0,-1.24
38.0,-1.32
39.0,-2.12
40.0,-1.12
41.0,-2.04
42.0,-1.24
43.0,-1.8800000000000003
44.0,-2.4400000000000004
45.0,-1.44
46.0,-2.2800000000000002
47.0,-2.2800000000000002
48.0,-1.16
49.0,-1.2
50.0,-1.32
51.0,-2.7200000000000006
52.0,-1.24
53.0,-1.0
54.0,-1.08
55.0,-1.2800000000000011
56.0,-1.04
57.0,-3.4800000000000013
58.0,-1.8000000000000003
59.0,-3.320000000000001
60.0,-2.5200000000000005
61.0,-1.6
62.0,-1.9600000000000004
63.0,-1.04
64.0,-2.2800000000000002
65.0,-2.3200000000000003
66.0,-1.28
67.0,-1.08
68.0,-3.120000000000001
69.0,-1.44
70.0,-1.3599999999999999
71.0,-1.7600000000000002
72.0,-1.2
73.0,-8.840000000000007
74.0,-1.24
75.0,-1.6400000000000001
76.0,-2.8000000000000007
77.0,-7.0400000000000045
78.0,-1.52
79.0,-2.2800000000000002
80.0,-1.04
81.0,-1.3600000000000012
82.0,-1.0
83.0,-1.6400000000000001
84.0,-3.080000000000001
85.0,-2.920000000000001
86.0,-4.8000000000000025
87.0,-1.24
88.0,-1.9200000000000004
89.0,-2.16
90.0,-1.9200000000000004
91.0,-1.24
92.0,-1.44
93.0,-1.32
94.0,-1.44
95.0,-1.12
96.0,-3.040000000000001
97.0,-8.000000000000005
98.0,-3.5600000000000014
99.0,-3.6000000000000014
100.0,-1.28
101.0,-1.56
102.0,-1.12
103.0,-3.9200000000000017
104.0,-1.12
105.0,-1.7600000000000002
106.0,-2.6000000000000005
107.0,-1.9200000000000004
108.0,-1.6400000000000001
109.0,-1.28
110.0,-2.920000000000001
111.0,-3.040000000000001
112.0,-1.4
113.0,-1.56
114.0,-1.28
115.0,-8.000000000000005
116.0,-1.32
117.0,-1.6800000000000002
118.0,-2.08
119.0,-1.16
120.0,-2.16
121.0,-2.880000000000001
122.0,-1.7600000000000002
123.0,-1.28
124.0,-1.6800000000000002
125.0,-1.04
126.0,-4.080000000000002
127.0,-1.6
128.0,-1.9600000000000004
129.0,-1.56
130.0,-4.880000000000003
131.0,-7.800000000000005
132.0,-1.9200000000000004
133.0,-1.24
134.0,-1.6
135.0,-1.8400000000000003
136.0,-3.9200000000000017
137.0,-1.7200000000000002
138.0,-1.7200000000000002
139.0,-2.6400000000000006
140.0,-4.640000000000002
141.0,-2.3200000000000003
142.0,-8.360000000000007
143.0,-2.9600000000000026
144.0,-1.6400000000000001
145.0,-1.24
146.0,-2.960000000000001
147.0,-1.28
148.0,-1.56
149.0,-1.8000000000000003
150.0,-1.3599999999999999
151.0,-1.4
152.0,-1.56
153.0,-1.2
154.0,-1.56
155.0,-1.08
156.0,-2.3600000000000003
157.0,-1.12
158.0,-4.080000000000002
159.0,-1.6
160.0,-1.32
161.0,-1.48
162.0,-2.0
163.0,-1.3599999999999999
164.0,-1.2
165.0,-3.5200000000000014
166.0,-1.28
167.0,-2.7200000000000006
168.0,-1.6800000000000002
169.0,-3.4000000000000012
170.0,-1.0
171.0,-1.2
172.0,-1.0
173.0,-1.12
174.0,-1.0
175.0,-8.000000000000005
176.0,-1.7200000000000002
177.0,-1.16
178.0,-1.04
179.0,-1.44
180.0,-1.3599999999999999
181.0,-6.720000000000004
182.0,-1.0
183.0,-1.6
184.0,-1.2
185.0,-1.44
186.0,-4.400000000000002
187.0,-1.2
188.0,-1.7600000000000002
189.0,-3.240000000000001
190.0,-3.120000000000001
191.0,-1.24
192.0,-2.4800000000000004
193.0,-1.32
194.0,-1.8000000000000003
195.0,-1.0
196.0,-2.16
197.0,-6.720000000000004
198.0,-1.6800000000000002
199.0,-2.4400000000000004
200.0,-1.12
201.0,-1.28
202.0,-1.6800000000000002
203.0,-1.2
204.0,-1.08
205.0,-2.960000000000001
206.0,-1.12
207.0,-1.12
208.0,-1.8800000000000003
209.0,-1.16
210.0,-1.0
211.0,-1.44
212.0,-1.44
213.0,-1.7600000000000002
214.0,-1.3599999999999999
215.0,-1.6
216.0,-2.3600000000000003
217.0,-1.0
218.0,-2.08
219.0,-1.3599999999999999
220.0,-3.0000000000000027
221.0,-1.44
222.0,-7.880000000000005
223.0,-1.2
224.0,-1.0
225.0,-1.24
226.0,-1.28
227.0,-1.48
228.0,-1.16
229.0,-1.44
230.0,-1.52
231.0,-2.6800000000000006
232.0,-1.28
233.0,-3.5200000000000014
234.0,-1.52
235.0,-1.4
236.0,-1.12
237.0,-1.32
238.0,-3.160000000000001
239.0,-1.3599999999999999
240.0,-2.6400000000000006
241.0,-4.520000000000002
242.0,-1.2
243.0,-1.9200000000000004
244.0,-2.04
245.0,-1.2
246.0,-6.0000000000000036
247.0,-1.08
248.0,-1.08
249.0,-4.440000000000002
250.0,-1.8800000000000003
251.0,-5.120000000000003
252.0,-3.7600000000000016
253.0,-1.24
254.0,-1.16
255.0,-1.8800000000000003
256.0,-1.3599999999999999
257.0,-1.44
258.0,-2.0
259.0,-1.52
260.0,-1.4
261.0,-1.24
262.0,-1.08
263.0,-1.0
264.0,-3.4000000000000012
265.0,-1.24
266.0,-1.44
267.0,-1.28
268.0,-1.08
269.0,-2.4800000000000004
270.0,-1.28
271.0,-1.08
272.0,-2.4000000000000004
273.0,-1.48
274.0,-8.600000000000005
275.0,-1.6400000000000001
276.0,-1.7600000000000002
277.0,-1.08
278.0,-1.2
279.0,-1.12
280.0,-1.7200000000000002
281.0,-1.8400000000000003
282.0,-1.24
283.0,-2.7600000000000007
284.0,-1.52
285.0,-1.08
286.0,-1.04
287.0,-1.6
288.0,-1.6400000000000001
289.0,-1.44
290.0,-1.6
