# Episodes, Rewards, Steps
0.0,-4.000000000000003,100.0
1.0,-1.3599999999999999,10.0
2.0,-1.24,7.0
3.0,-1.24,7.0
4.0,0.4800000000000001,14.0
5.0,0.4800000000000001,14.0
6.0,-1.08,3.0
7.0,-4.000000000000003,100.0
8.0,-4.000000000000003,100.0
9.0,-1.12,4.0
10.0,-4.000000000000003,100.0
11.0,-1.48,13.0
12.0,0.4800000000000001,14.0
13.0,-1.04,2.0
14.0,0.4800000000000001,14.0
15.0,0.4800000000000001,14.0
16.0,-1.08,3.0
17.0,-1.44,12.0
18.0,-1.16,5.0
19.0,-4.000000000000003,100.0
20.0,-1.12,4.0
21.0,0.4800000000000001,14.0
22.0,0.4800000000000001,14.0
23.0,-1.48,13.0
24.0,-1.08,3.0
25.0,0.4800000000000001,14.0
26.0,-1.24,7.0
27.0,-1.12,4.0
28.0,0.4800000000000001,14.0
29.0,0.4800000000000001,14.0
30.0,-4.000000000000003,100.0
31.0,-1.2,6.0
32.0,-1.12,4.0
33.0,-4.000000000000003,100.0
34.0,-4.000000000000003,100.0
35.0,-1.4,11.0
36.0,0.4800000000000001,14.0
37.0,-1.08,3.0
38.0,-1.44,12.0
39.0,-1.2,6.0
40.0,-4.000000000000003,100.0
41.0,0.4800000000000001,14.0
42.0,-1.4,11.0
43.0,0.4800000000000001,14.0
44.0,0.4800000000000001,14.0
45.0,-1.32,9.0
46.0,-1.32,9.0
47.0,-1.28,8.0
48.0,0.4800000000000001,14.0
49.0,-1.04,2.0
50.0,-1.0,1.0
51.0,-1.16,5.0
52.0,-1.04,2.0
53.0,0.4800000000000001,14.0
54.0,-4.000000000000003,100.0
55.0,-1.08,3.0
56.0,-1.08,3.0
57.0,-1.04,2.0
58.0,0.4800000000000001,14.0
59.0,-1.08,3.0
60.0,-1.12,4.0
61.0,0.4800000000000001,14.0
62.0,-1.32,9.0
63.0,-1.28,8.0
64.0,-1.44,12.0
65.0,-1.04,2.0
66.0,-1.16,5.0
67.0,-1.12,4.0
68.0,0.4800000000000001,14.0
69.0,-1.08,3.0
70.0,0.4800000000000001,14.0
71.0,-1.0,1.0
72.0,-1.04,2.0
73.0,-1.44,12.0
74.0,-4.000000000000003,100.0
75.0,-1.16,5.0
76.0,-1.16,5.0
77.0,-1.0,1.0
78.0,-4.000000000000003,100.0
79.0,-1.2,6.0
80.0,-1.24,7.0
81.0,-1.28,8.0
82.0,-4.000000000000003,100.0
83.0,-1.32,9.0
84.0,-1.32,9.0
85.0,-1.04,2.0
86.0,-1.12,4.0
87.0,-1.28,8.0
88.0,-4.000000000000003,100.0
89.0,0.4800000000000001,14.0
90.0,-1.04,2.0
91.0,-1.16,5.0
92.0,-1.16,5.0
93.0,-4.000000000000003,100.0
94.0,-1.16,5.0
95.0,-1.04,2.0
96.0,0.4800000000000001,14.0
97.0,-4.000000000000003,100.0
98.0,-4.000000000000003,100.0
99.0,-4.000000000000003,100.0
