# Episodes, Rewards
0.0,-1.4200000000000002
1.0,-1.21
2.0,-1.6100000000000003
3.0,-1.21
4.0,-1.5100000000000002
5.0,-1.25
6.0,-1.31
7.0,-1.1
8.0,-1.37
9.0,-1.4200000000000002
10.0,-1.24
11.0,-1.33
12.0,-1.5500000000000003
13.0,-1.06
14.0,-1.4500000000000002
15.0,-1.3900000000000001
16.0,-1.2
17.0,-1.4400000000000002
18.0,-1.0000000000000007
19.0,-1.8500000000000005
20.0,-1.0000000000000007
21.0,-1.16
22.0,-1.4100000000000001
23.0,-1.31
24.0,-1.6300000000000003
25.0,-1.15
26.0,-1.31
27.0,-1.8000000000000005
28.0,-1.17
29.0,-1.21
30.0,-1.5400000000000003
31.0,-1.2
32.0,-1.9100000000000006
33.0,-1.35
34.0,-1.1099999999999999
35.0,-1.6900000000000004
36.0,-1.4300000000000002
37.0,-1.18
38.0,-1.14
39.0,-1.23
40.0,-1.2
41.0,-1.4300000000000002
42.0,-1.6400000000000003
43.0,-1.24
44.0,-1.4500000000000002
45.0,-1.26
46.0,-1.31
47.0,-1.2
48.0,-1.7200000000000004
49.0,-1.21
50.0,-1.1
51.0,-1.4300000000000002
52.0,-1.4500000000000002
53.0,-1.7400000000000004
54.0,-1.0000000000000007
55.0,-1.35
56.0,-1.4000000000000001
57.0,-1.31
58.0,-1.29
59.0,-1.06
60.0,-1.17
61.0,-1.29
62.0,-1.8700000000000006
63.0,-1.3800000000000001
64.0,-1.22
65.0,-1.22
66.0,-1.2
67.0,-1.2
68.0,-1.29
69.0,-1.22
70.0,-1.3900000000000001
71.0,-1.36
72.0,-1.5500000000000003
73.0,-1.0000000000000007
74.0,-1.2
75.0,-1.27
76.0,-1.27
77.0,-1.15
78.0,-1.27
79.0,-1.29
80.0,-1.4800000000000002
81.0,-1.7000000000000004
82.0,-1.31
83.0,-1.2
84.0,-1.4800000000000002
85.0,-1.18
86.0,-1.9700000000000006
87.0,-1.15
88.0,-1.34
89.0,-1.31
90.0,-1.9300000000000006
91.0,-1.4200000000000002
92.0,-1.5600000000000003
93.0,-1.06
94.0,-1.34
95.0,-1.5800000000000003
96.0,-1.4100000000000001
97.0,-1.31
98.0,-1.15
99.0,-1.3800000000000001
100.0,-1.9100000000000006
101.0,-1.6800000000000004
102.0,-1.8500000000000005
103.0,-1.5800000000000003
104.0,-1.2
105.0,-1.4900000000000002
106.0,-1.6200000000000003
107.0,-1.21
108.0,-1.19
109.0,-1.35
110.0,-1.19
111.0,-1.7700000000000005
112.0,-1.6800000000000004
113.0,-1.1099999999999999
114.0,-1.4300000000000002
115.0,-1.5400000000000003
116.0,-1.21
117.0,-1.09
118.0,-1.23
119.0,-1.19
120.0,-1.4400000000000002
121.0,-1.15
122.0,-1.34
123.0,-1.21
124.0,-1.35
125.0,-1.32
126.0,-1.36
127.0,-1.33
128.0,-1.24
129.0,-1.24
130.0,-1.26
131.0,-1.1199999999999999
132.0,-1.14
133.0,-1.23
134.0,-1.13
135.0,-1.14
136.0,-1.3900000000000001
137.0,-1.37
138.0,-1.4800000000000002
139.0,-1.1199999999999999
140.0,-1.16
141.0,-1.33
142.0,-1.1099999999999999
143.0,-1.26
144.0,-1.5500000000000003
145.0,-1.29
146.0,-1.28
147.0,-1.09
148.0,-1.5100000000000002
149.0,-1.4600000000000002
150.0,-1.4700000000000002
151.0,-1.3800000000000001
152.0,-1.4800000000000002
153.0,-1.07
154.0,-1.1199999999999999
155.0,-1.22
156.0,-1.34
157.0,-1.23
158.0,-1.07
159.0,-1.22
160.0,-1.3800000000000001
161.0,-1.33
162.0,-1.5600000000000003
163.0,-1.1199999999999999
164.0,-1.37
165.0,-1.16
166.0,-1.29
167.0,-1.13
168.0,-1.5000000000000002
169.0,-1.27
170.0,-1.5900000000000003
171.0,-1.5300000000000002
172.0,-1.2
173.0,-1.21
174.0,-1.25
175.0,-1.17
176.0,-1.0000000000000007
177.0,-1.4400000000000002
178.0,-1.17
179.0,-1.24
180.0,-1.06
181.0,-1.22
182.0,-1.7800000000000005
183.0,-1.18
184.0,-1.24
185.0,-1.07
186.0,-1.31
187.0,-1.31
188.0,-1.33
189.0,-1.23
190.0,-1.7500000000000004
191.0,-1.3
192.0,-1.9700000000000006
193.0,-1.31
194.0,-1.4100000000000001
195.0,-1.6500000000000004
196.0,-1.07
197.0,-1.1199999999999999
198.0,-1.37
199.0,-1.7100000000000004
200.0,-1.09
201.0,-1.1199999999999999
202.0,-1.15
203.0,-1.27
204.0,-1.0000000000000007
205.0,-1.21
206.0,-1.27
207.0,-1.36
208.0,-1.4700000000000002
209.0,-1.13
210.0,-1.0000000000000007
211.0,-1.3
212.0,-1.34
213.0,-1.27
214.0,-1.23
215.0,-1.13
216.0,-1.33
217.0,-1.0000000000000007
218.0,-1.09
219.0,-1.14
220.0,-1.1099999999999999
221.0,-1.4100000000000001
222.0,-1.24
223.0,-1.0000000000000007
224.0,-1.4200000000000002
225.0,-1.21
226.0,-1.0000000000000007
227.0,-1.07
228.0,-1.36
229.0,0.5499999999999998
230.0,-1.0000000000000007
231.0,-1.15
232.0,-1.7900000000000005
233.0,-1.1199999999999999
234.0,-1.08
235.0,-1.27
236.0,-1.19
237.0,-1.5900000000000003
238.0,-1.6200000000000003
239.0,-1.3
240.0,-1.0000000000000007
241.0,-1.1199999999999999
242.0,-1.36
243.0,0.16999999999999948
244.0,-1.9000000000000006
245.0,-1.0000000000000007
246.0,-1.7500000000000004
247.0,-1.35
248.0,-1.32
249.0,-1.22
250.0,-1.24
251.0,-1.4900000000000002
252.0,-1.19
253.0,-1.25
254.0,-1.4900000000000002
255.0,-1.6200000000000003
256.0,-1.34
257.0,-1.9500000000000006
258.0,-1.25
259.0,-1.18
260.0,0.2799999999999996
261.0,-1.18
262.0,-1.31
263.0,-1.22
264.0,-1.2
265.0,-1.18
266.0,-1.19
267.0,-1.23
268.0,-1.33
269.0,-1.09
270.0,-1.29
271.0,0.5199999999999998
272.0,-1.26
273.0,-1.4200000000000002
274.0,-1.4300000000000002
275.0,-1.18
276.0,-1.22
277.0,-1.2
278.0,-1.18
279.0,-1.19
280.0,-1.08
281.0,-1.32
282.0,-1.0000000000000007
283.0,-1.26
284.0,-1.31
285.0,-1.15
286.0,-1.21
287.0,0.1899999999999995
288.0,0.5799999999999998
289.0,-1.4300000000000002
290.0,-1.29
291.0,-1.28
292.0,-1.22
293.0,-1.0000000000000007
294.0,-1.28
295.0,-1.35
296.0,-1.26
