# Episodes, Rewards
0.0,-1.27
1.0,-2.510000000000001
2.0,-1.36
3.0,-1.9300000000000006
4.0,-1.5800000000000003
5.0,-2.0900000000000007
6.0,-1.08
7.0,-1.29
8.0,-1.8800000000000006
9.0,-1.5500000000000003
10.0,-1.24
11.0,-1.8100000000000005
12.0,-1.21
13.0,-1.31
14.0,-1.4700000000000002
15.0,-1.33
16.0,-1.26
17.0,-1.13
18.0,-1.22
19.0,-1.4200000000000002
20.0,-1.17
21.0,-1.4700000000000002
22.0,-1.5400000000000003
23.0,-1.7700000000000005
24.0,-1.7600000000000005
25.0,-2.430000000000001
26.0,-1.4900000000000002
27.0,-1.18
28.0,-2.0600000000000005
29.0,-2.420000000000001
30.0,-1.4100000000000001
31.0,-2.7300000000000013
32.0,-1.3900000000000001
33.0,-2.0900000000000007
34.0,-1.28
35.0,-2.0100000000000007
36.0,-1.3800000000000001
37.0,-2.2600000000000007
38.0,-1.4400000000000002
39.0,-1.9800000000000006
40.0,-1.36
41.0,-2.8400000000000016
42.0,-1.7200000000000004
43.0,-1.4000000000000001
44.0,-1.7300000000000004
45.0,-2.0300000000000007
46.0,-1.7400000000000004
47.0,-1.6400000000000003
48.0,-1.5700000000000003
49.0,-1.21
50.0,-2.4800000000000013
51.0,-3.1399999999999983
52.0,-1.4100000000000001
53.0,-3.1699999999999977
54.0,-1.06
55.0,-2.7200000000000015
56.0,-1.24
57.0,-1.6100000000000003
58.0,-1.4500000000000002
59.0,-2.040000000000001
60.0,-2.250000000000001
61.0,-1.5200000000000002
62.0,-1.4000000000000001
63.0,-1.7600000000000005
64.0,-2.9500000000000015
65.0,-1.4200000000000002
66.0,-2.0100000000000007
67.0,-1.6600000000000004
68.0,-1.3
69.0,-2.080000000000001
70.0,-2.190000000000001
71.0,-1.5900000000000003
72.0,-1.17
73.0,-1.28
74.0,-1.4000000000000001
75.0,-4.429999999999971
76.0,-1.36
77.0,-1.6100000000000003
78.0,-2.450000000000001
79.0,-1.3
80.0,-1.32
81.0,-3.569999999999989
82.0,-1.9300000000000006
83.0,-1.9300000000000006
84.0,-1.9900000000000007
85.0,-2.2600000000000007
86.0,-1.8600000000000005
87.0,-1.37
88.0,-2.000000000000001
89.0,-1.8300000000000005
90.0,-1.6500000000000004
91.0,-2.8800000000000017
92.0,-3.4199999999999924
93.0,-6.659999999999924
94.0,-4.809999999999963
95.0,-4.459999999999971
96.0,-1.5800000000000003
97.0,3.9499999999999993
98.0,-1.7400000000000004
99.0,-1.34
100.0,-1.5600000000000003
101.0,-1.25
102.0,-1.25
103.0,-1.6900000000000004
104.0,-2.3000000000000007
105.0,-1.8700000000000006
106.0,-1.31
107.0,-1.1099999999999999
108.0,-1.4100000000000001
109.0,-1.37
110.0,-1.05
111.0,-1.29
112.0,-1.7300000000000004
113.0,-2.5600000000000014
114.0,-1.4900000000000002
115.0,-1.8200000000000005
116.0,-1.5200000000000002
117.0,-1.16
118.0,-1.13
