# Episodes, Rewards
0.0,-1.0000000000000007
1.0,-5.11
2.0,-5.640000000000001
3.0,-5.25
4.0,-5.13
5.0,-5.3500000000000005
6.0,-5.22
7.0,-5.19
8.0,-5.28
9.0,-5.6000000000000005
10.0,-5.470000000000001
11.0,-5.57
12.0,-5.32
13.0,-5.550000000000001
14.0,-5.8500000000000005
15.0,-5.42
16.0,-5.23
17.0,-5.1
18.0,-5.08
19.0,-5.18
20.0,-5.32
21.0,-5.36
22.0,-5.4
23.0,-1.0000000000000007
24.0,-1.0000000000000007
25.0,-5.23
26.0,-5.37
27.0,-5.13
28.0,-5.28
29.0,-5.09
30.0,-5.3
31.0,-5.53
32.0,-5.430000000000001
33.0,-5.19
34.0,-5.36
35.0,-5.21
36.0,-1.0000000000000007
37.0,-5.24
38.0,-5.5200000000000005
39.0,-5.390000000000001
40.0,-5.3
41.0,-5.21
42.0,-5.24
43.0,-5.430000000000001
44.0,-5.21
45.0,-5.32
46.0,-5.62
47.0,-5.4
48.0,-5.22
49.0,-5.19
50.0,-5.720000000000001
51.0,-5.37
52.0,-5.33
53.0,-5.49
54.0,-5.3100000000000005
55.0,-1.0000000000000007
56.0,-5.25
57.0,-5.65
58.0,-5.07
59.0,-5.16
60.0,-5.2700000000000005
61.0,-1.0000000000000007
62.0,-1.0000000000000007
63.0,-5.11
64.0,-5.32
65.0,-5.25
66.0,-5.17
67.0,-5.57
68.0,-1.0000000000000007
69.0,-5.69
70.0,-5.710000000000001
71.0,-5.42
72.0,-5.24
73.0,-5.34
74.0,-5.9
75.0,-5.790000000000001
76.0,-5.16
77.0,-5.61
78.0,-5.07
79.0,-5.1
80.0,-5.11
81.0,-5.37
82.0,-5.49
83.0,-5.94
84.0,-1.0000000000000007
85.0,-5.2
86.0,-5.17
87.0,-5.07
88.0,-5.1
89.0,-5.3100000000000005
90.0,-5.1
91.0,-5.5
92.0,-5.710000000000001
93.0,-5.19
94.0,-5.54
95.0,-5.99
96.0,-5.28
97.0,-5.45
98.0,-5.13
99.0,-5.17
100.0,-1.0000000000000007
101.0,-5.49
102.0,-5.710000000000001
103.0,-5.24
104.0,-5.28
105.0,-1.0000000000000007
106.0,-5.840000000000001
107.0,-5.44
108.0,-5.58
109.0,-1.0000000000000007
110.0,-1.0000000000000007
111.0,-5.34
112.0,-5.23
113.0,-5.78
114.0,-5.34
115.0,-5.98
116.0,-5.2700000000000005
117.0,-5.13
118.0,-5.390000000000001
119.0,-5.15
120.0,-5.22
121.0,-5.2
122.0,-1.0000000000000007
123.0,-5.38
124.0,-5.78
125.0,-5.3
126.0,-5.2
127.0,-5.430000000000001
128.0,-5.51
129.0,-5.17
130.0,-5.18
131.0,-5.19
132.0,-5.3
133.0,-5.58
134.0,-5.680000000000001
135.0,-5.45
136.0,-5.32
137.0,-5.69
138.0,-5.12
139.0,-5.65
140.0,-5.08
141.0,-5.62
142.0,-5.16
143.0,-5.23
144.0,-5.3500000000000005
145.0,-5.22
146.0,-5.18
147.0,-5.49
148.0,-5.37
149.0,-5.13
150.0,-5.33
151.0,-5.37
152.0,-5.53
153.0,-5.8500000000000005
154.0,-5.23
155.0,-5.16
156.0,-5.930000000000001
157.0,-5.26
158.0,-5.08
159.0,-5.15
160.0,-5.3100000000000005
161.0,-5.970000000000001
162.0,-5.44
163.0,-5.3100000000000005
164.0,-5.59
165.0,-5.82
166.0,-5.05
167.0,-5.5600000000000005
168.0,-5.4
169.0,-5.2700000000000005
170.0,-5.24
171.0,-5.840000000000001
172.0,-5.28
173.0,-5.14
174.0,-5.16
175.0,-5.2700000000000005
176.0,-5.16
177.0,-5.920000000000001
178.0,-5.41
179.0,-5.42
180.0,-5.37
181.0,-5.46
182.0,-5.2
183.0,-5.15
184.0,-5.4
185.0,-5.48
186.0,-5.6000000000000005
187.0,-5.44
188.0,-5.37
189.0,-5.48
190.0,-5.550000000000001
191.0,-1.0000000000000007
192.0,-5.78
193.0,-5.58
194.0,-5.12
195.0,-5.15
196.0,-5.59
197.0,-5.470000000000001
198.0,-5.65
199.0,-5.65
200.0,-5.6000000000000005
