# Episodes, Rewards
0.0,-7.300000000000001
1.0,-7.600000000000001
2.0,-9.000000000000002
3.0,-11.899999999999991
4.0,-11.799999999999992
5.0,-11.299999999999994
6.0,-10.399999999999997
7.0,-8.000000000000002
8.0,-7.0
9.0,-8.500000000000002
10.0,-8.700000000000003
11.0,-9.100000000000001
12.0,-9.5
13.0,-6.9
14.0,-7.600000000000001
15.0,-10.399999999999997
16.0,-5.7
17.0,-6.5
18.0,-6.4
19.0,-6.7
20.0,-7.0
21.0,-6.0
22.0,-14.099999999999984
23.0,-11.399999999999993
24.0,-10.699999999999996
25.0,-5.8
26.0,-7.500000000000001
27.0,-13.299999999999986
28.0,-5.5
29.0,-7.200000000000001
30.0,-9.99999999999998
31.0,-6.9
32.0,-6.800000000000001
33.0,-11.999999999999991
34.0,-10.399999999999997
35.0,-9.4
36.0,-6.7
37.0,-6.7
38.0,-13.599999999999985
39.0,-9.6
40.0,-6.0
41.0,-9.99999999999998
42.0,-7.300000000000001
43.0,-9.99999999999998
44.0,-7.300000000000001
45.0,-5.9
46.0,-9.99999999999998
47.0,-8.3
48.0,-5.7
49.0,-12.49999999999999
50.0,-9.100000000000001
51.0,-7.1000000000000005
52.0,-8.500000000000002
53.0,-5.9
54.0,-6.1
55.0,-10.399999999999997
56.0,-6.6000000000000005
57.0,-8.3
58.0,-11.499999999999993
59.0,-6.5
60.0,-6.6000000000000005
61.0,-11.499999999999993
62.0,-14.89999999999998
63.0,-7.300000000000001
64.0,-6.6000000000000005
65.0,-8.100000000000001
66.0,-9.99999999999998
67.0,-6.1
68.0,-6.3
69.0,-6.7
70.0,-9.4
71.0,-10.599999999999996
72.0,-11.099999999999994
73.0,-9.100000000000001
74.0,-9.99999999999998
75.0,-7.300000000000001
76.0,-7.1000000000000005
77.0,-8.900000000000002
78.0,-10.899999999999995
79.0,-9.899999999999999
80.0,-10.399999999999997
81.0,-8.800000000000002
82.0,-6.3
83.0,-7.4
84.0,-6.5
85.0,-7.600000000000001
86.0,-7.800000000000001
