# Episodes, Rewards
0.0,-1.0093333333333334
1.0,-1.008125
2.0,-1.0383333333333333
3.0,-1.048
4.0,-1.0383333333333333
5.0,-1.0866666666666667
6.0,-1.02625
7.0,-1.0163636363636366
8.0,-1.0383333333333333
9.0,-1.0866666666666667
10.0,-1.0625000000000002
11.0,-1.0383333333333333
12.0,-1.0262499999999999
13.0,-1.019
14.0,-1.0314285714285716
15.0,-1.0190000000000001
16.0,-1.0093333333333332
17.0,-1.0070588235294118
18.0,-1.057368421052632
19.0,-1.0070588235294118
20.0,-1.003809523809524
21.0,-1.0020833333333334
22.0,-1.001153846153846
23.0,-0.9996666666666668
24.0,-1.0000000000000002
25.0,-0.8220588235294118
26.0,-0.9976315789473683
27.0,-0.8058064516129033
28.0,-0.816969696969697
29.0,-0.9987878787878788
30.0,-0.5996666666666667
31.0,-0.718095238095238
32.0,-0.7304545454545454
33.0,-0.18500000000000005
34.0,-0.2933333333333334
35.0,-0.7754545454545454
36.0,-0.7304545454545455
37.0,0.05176470588235296
38.0,-0.30117647058823527
39.0,0.05176470588235292
40.0,0.9858333333333333
41.0,1.9809999999999999
42.0,1.2418749999999998
43.0,2.4858333333333333
44.0,1.9892857142857143
45.0,2.846428571428572
46.0,2.7418750000000003
47.0,2.9938888888888893
48.0,3.390666666666667
49.0,2.590666666666666
50.0,4.064615384615385
51.0,3.724666666666667
52.0,3.7906666666666666
53.0,2.9938888888888893
54.0,4.0473684210526315
55.0,4.616875
56.0,4.640000000000001
57.0,4.346
58.0,4.287058823529413
59.0,3.993888888888889
60.0,4.555
61.0,3.7955000000000005
62.0,3.934117647058823
63.0,3.934117647058823
64.0,3.7315789473684213
65.0,4.660555555555556
66.0,3.993888888888889
67.0,4.640000000000001
68.0,4.660555555555556
69.0,4.678947368421053
70.0,4.3955
71.0,4.3955
72.0,4.3955
73.0,4.139047619047619
74.0,3.3604545454545462
75.0,4.695500000000001
76.0,4.3955
77.0,4.695500000000001
78.0,4.942631578947369
79.0,4.942631578947368
80.0,4.3110526315789475
81.0,4.678947368421053
82.0,4.3955
83.0,4.678947368421053
84.0,4.6955
85.0,4.424761904761905
86.0,4.424761904761904
87.0,4.424761904761905
88.0,4.695500000000001
89.0,4.695500000000001
90.0,4.695500000000001
91.0,4.71047619047619
92.0,4.695500000000001
93.0,4.695500000000001
94.0,4.424761904761906
95.0,4.424761904761906
96.0,4.3955
97.0,4.6955
98.0,4.178636363636364
99.0,4.72409090909091
