# Episodes, Rewards
0.0,-1.4600000000000002
1.0,-1.28
2.0,-1.6600000000000004
3.0,-1.08
4.0,-1.09
5.0,-1.09
6.0,-1.4300000000000002
7.0,-1.3
8.0,-1.2
9.0,-1.1
10.0,-1.15
11.0,-1.7100000000000004
12.0,-1.6600000000000004
13.0,-1.31
14.0,-1.36
15.0,-1.32
16.0,-1.4200000000000002
17.0,-1.18
18.0,-1.17
19.0,-1.27
20.0,-1.23
21.0,-1.16
22.0,-1.18
23.0,-1.09
24.0,-1.5700000000000003
25.0,-1.6900000000000004
26.0,0.16999999999999948
27.0,-1.14
28.0,-1.18
29.0,-1.4200000000000002
30.0,-1.4200000000000002
31.0,-1.5300000000000002
32.0,-1.0000000000000007
33.0,-1.4200000000000002
34.0,-1.25
35.0,-1.32
36.0,-1.22
37.0,-1.16
38.0,-1.16
39.0,-1.5700000000000003
40.0,-1.24
41.0,-1.8700000000000006
42.0,-1.1
43.0,-1.18
44.0,-1.08
45.0,-1.26
46.0,-1.09
47.0,-1.22
48.0,-1.26
49.0,-1.4800000000000002
50.0,-1.24
51.0,-1.2
52.0,-1.29
53.0,-1.8700000000000006
54.0,-1.14
55.0,-1.6500000000000004
56.0,-1.7800000000000005
57.0,-1.4400000000000002
58.0,-1.27
59.0,-1.33
60.0,-1.14
61.0,-1.5700000000000003
62.0,-1.1199999999999999
63.0,-1.37
64.0,-1.6400000000000003
65.0,-1.31
66.0,-1.16
67.0,-1.24
68.0,-1.07
69.0,-1.36
70.0,-1.5300000000000002
71.0,-1.18
72.0,-1.9200000000000006
73.0,-1.04
74.0,-1.16
75.0,-1.1099999999999999
76.0,-1.27
77.0,-1.26
78.0,-1.24
79.0,-1.04
80.0,-1.24
81.0,-1.08
82.0,-1.21
83.0,-1.35
84.0,-1.14
85.0,-1.4900000000000002
86.0,-1.1199999999999999
87.0,-1.32
88.0,-1.37
89.0,-1.4200000000000002
90.0,-1.5200000000000002
91.0,-1.17
92.0,-1.33
93.0,-1.7500000000000004
94.0,-1.18
95.0,-1.6600000000000004
96.0,-1.23
97.0,-1.4500000000000002
98.0,-1.15
99.0,-1.18
100.0,-1.5400000000000003
101.0,-1.09
102.0,-1.35
103.0,-1.17
104.0,-1.16
105.0,-1.4900000000000002
106.0,-1.1099999999999999
107.0,-1.26
108.0,-1.16
109.0,-1.19
110.0,-1.06
111.0,-1.4200000000000002
112.0,-1.15
113.0,-1.3
114.0,-1.17
115.0,-1.25
116.0,-1.2
117.0,-1.1099999999999999
118.0,-1.23
119.0,-1.1199999999999999
120.0,-1.21
121.0,-1.2
122.0,-1.06
123.0,-1.1099999999999999
124.0,-1.13
125.0,-1.4200000000000002
126.0,-1.16
127.0,-1.05
128.0,0.10999999999999943
129.0,-1.1099999999999999
130.0,-1.08
131.0,-1.23
132.0,-1.1199999999999999
133.0,-1.23
134.0,-1.2
135.0,-1.07
136.0,-1.2
137.0,-1.07
138.0,-1.3800000000000001
139.0,-1.18
140.0,-1.28
141.0,-1.18
142.0,-1.13
143.0,-1.1199999999999999
144.0,-1.16
145.0,-1.1
146.0,-1.1099999999999999
147.0,-1.4300000000000002
148.0,-1.32
149.0,-1.5200000000000002
150.0,-1.16
151.0,-1.19
152.0,-1.28
153.0,-1.1
154.0,-1.08
155.0,-1.3
156.0,-1.08
157.0,-1.21
158.0,-1.1199999999999999
159.0,-1.1199999999999999
160.0,-1.05
161.0,-1.08
162.0,-1.2
163.0,-1.15
164.0,-1.2
165.0,-1.15
166.0,-1.37
167.0,-1.15
168.0,-1.2
169.0,-1.1199999999999999
170.0,-1.14
171.0,-1.35
172.0,-1.24
173.0,-1.18
174.0,-1.4900000000000002
175.0,-1.15
176.0,-1.8000000000000005
177.0,-1.6600000000000004
178.0,-1.17
179.0,-1.09
180.0,-1.28
181.0,-1.1199999999999999
182.0,-1.14
183.0,-1.06
184.0,-1.1199999999999999
185.0,-1.27
186.0,-1.4700000000000002
187.0,0.6699999999999999
188.0,-1.5400000000000003
189.0,-1.18
190.0,-1.35
191.0,-1.14
192.0,-1.4900000000000002
193.0,-1.18
194.0,-1.23
195.0,-1.26
196.0,-1.4300000000000002
197.0,-1.5500000000000003
198.0,-1.04
199.0,-1.21
200.0,-1.4400000000000002
201.0,-1.3
202.0,-1.13
203.0,-1.07
204.0,-1.05
205.0,-1.18
206.0,-1.32
207.0,-1.21
208.0,-1.1
209.0,-1.22
210.0,-1.16
211.0,-1.4100000000000001
212.0,-1.3900000000000001
213.0,-1.1199999999999999
214.0,-1.17
215.0,-1.1099999999999999
216.0,-1.23
217.0,-1.16
218.0,-1.17
219.0,-1.4600000000000002
220.0,-1.18
221.0,-1.1199999999999999
222.0,-1.37
223.0,-1.34
224.0,-1.19
